xx1,0.1
0.1,0.1
0.3,0.3
0.23,0.23
0.x23,0.23
0.39,0.39
0.x14,0.39
0.x14,0.39
0.814,0.814
0.x14,0.814
0.814,0.814
0.x14,0.814
0.772,0.772
0.772,0.772
0.772,0.772
0.02,0.02
0.x02,0.02
0.x02,0.02
0.x02,0.02
0.x02,0.02
0.x02,0.02
0.x02,0.02
0.x0,0.02
0.x0,0.02
0.x0,0.02
0.x1,0.02
0.x1,0.02
0.x1,0.02
0.x1,0.02
0.x17,0.02
0.x17,0.02
0.x13,0.02
0.x1x,0.02
0.x1x,0.02
0.x1x,0.02
0.x1x,0.02
0.x1x,0.02
0.x1x,0.02
0.x1,0.02
0.x1,0.02
0.81,0.81
0.x1,0.81
0.817,0.817
0.x17,0.817
0.x27,0.817
0.x23,0.817
0.x23,0.817
0.x23,0.817
0.824,0.824
0.x24,0.824
0.x24,0.824
0.x7x,0.824
0.x16,0.824
0.x16,0.824
0.x1,0.824
0.x17,0.824
0.x17,0.824
0.x15,0.824
0.x15,0.824
0.x15,0.824
0.x15,0.824
0.x13,0.824
0.x13,0.824
0.x13,0.824
0.x1x,0.824
0.x15,0.824
0.x15,0.824
0.x16,0.824
0.816,0.816
0.x16,0.816
0.x1,0.816
0.x13,0.816
0.813,0.813
0.x13,0.813
0.81,0.81
0.x1,0.81
0.81,0.81
0.x1,0.81
0.81,0.81
0.x1,0.81
0.x2,0.81
0.x2,0.81
0.x2,0.81
0.x2,0.81
0.x2,0.81
0.x2,0.81
0.x15,0.81
0.x15,0.81
0.x15,0.81
0.x15,0.81
0.x1,0.81
0.x1,0.81
0.x1,0.81
0.0,0.0
0.x0,0.0
0.0,0.0
0.x15,0.0
0.x15,0.0
0.x15,0.0
0.x15,0.0
0.x0,0.0
0.x0,0.0
0.80,0.8
0.0x,0.8
0.x0x,0.8
0.0x,0.8
0.x1x,0.8
0.x1x,0.8
0.x1x,0.8
0.x1x,0.8
0.x1x,0.8
0.x1x,0.8
0.x1x,0.8
0.x07,0.8
